"","employees","salaries_2017","salaries_2018","change","got_raise"
"1","Employee 1",44744.1853978671,46108.192501124,1364.00710325688,TRUE
"2","Employee 2",47291.2901290692,56345.5636473373,9054.27351826802,TRUE
"3","Employee 3",42638.786432799,44420.8453816827,1782.05894888379,TRUE
"4","Employee 4",44468.689232599,40731.8498007953,-3736.83943180367,FALSE
"5","Employee 5",47769.7569341399,47892.5310063642,122.774072224274,TRUE
"6","Employee 6",43429.2986895889,43679.2479420546,249.94925246574,TRUE
"7","Employee 7",40152.5188214146,37163.3869223297,-2989.1318990849,FALSE
"8","Employee 8",47186.0774839297,52535.5525035411,5349.47501961142,TRUE
"9","Employee 9",42222.9341929778,50455.200788565,8232.26659558713,TRUE
"10","Employee 10",41529.9090347253,46848.4376976267,5318.52866290137,TRUE
"11","Employee 11",44047.3062288947,41751.8046346959,-2295.50159419887,FALSE
"12","Employee 12",49347.8630017489,46662.6075026579,-2685.255499091,FALSE
"13","Employee 13",44977.3744517006,47109.4178082421,2132.04335654154,TRUE
"14","Employee 14",41443.4880390763,48476.8016554881,7033.31361641176,TRUE
"15","Employee 15",45539.8391443305,41497.6588683203,-4042.18027601019,FALSE
"16","Employee 16",44501.852740068,42618.5418025125,-1883.31093755551,FALSE
"17","Employee 17",46803.7190148607,56393.9168862998,9590.19787143916,TRUE
"18","Employee 18",43294.3340600468,41150.3096751403,-2144.02438490652,FALSE
"19","Employee 19",49003.1498391181,45176.2765052263,-3826.87333389185,FALSE
"20","Employee 20",45280.1163261756,44592.7721192129,-687.344206962734,FALSE
"21","Employee 21",49941.4535355754,53216.2397389766,3274.78620340116,TRUE
"22","Employee 22",48026.2618302368,45134.6398517489,-2891.62197848782,FALSE
"23","Employee 23",49751.0212054476,56836.81684779,7085.79564234242,TRUE
"24","Employee 24",44297.0407870598,43324.8273504432,-972.213436616585,FALSE
"25","Employee 25",47305.7350283489,51571.3136200793,4265.57859173045,TRUE
"26","Employee 26",41450.6577467546,42202.105919132,751.448172377422,TRUE
"27","Employee 27",44055.2813373506,50149.8091244139,6094.52778706327,TRUE
"28","Employee 28",46293.3325837366,51959.6727681346,5666.340184398,TRUE
"29","Employee 29",42113.1690195762,52024.7605047189,9911.59148514271,TRUE
"30","Employee 30",49783.9148691855,49299.2922011763,-484.622668009251,FALSE
"31","Employee 31",48815.3436896391,51442.3186541535,2626.97496451437,TRUE
"32","Employee 32",41857.3448993266,43793.7875452917,1936.44264596514,TRUE
"33","Employee 33",43571.6884839348,52273.6731194891,8701.98463555425,TRUE
"34","Employee 34",43569.8477178812,46866.716844961,3296.86912707984,TRUE
"35","Employee 35",40067.9778680205,43881.8803895265,3813.90252150595,TRUE
"36","Employee 36",42169.9732285924,39092.4464911222,-3077.52673747018,FALSE
"37","Employee 37",40020.9513772279,47644.9615671299,7624.01018990204,TRUE
"38","Employee 38",41871.7762944289,42088.7306146324,216.954320203513,TRUE
"39","Employee 39",49339.4315289333,55820.0087479781,6480.57721904479,TRUE
"40","Employee 40",44347.6817943156,42781.5471054055,-1566.1346889101,FALSE
"41","Employee 41",42336.2925183028,41327.279987745,-1009.01253055781,FALSE
"42","Employee 42",47299.6168746613,53009.022170445,5709.40529578365,TRUE
"43","Employee 43",43869.8773691431,49030.768770026,5160.89140088297,TRUE
"44","Employee 44",40772.4143168889,37879.6655975748,-2892.74871931411,FALSE
"45","Employee 45",40264.1584025696,49868.2702716906,9604.11186912097,TRUE
"46","Employee 46",42855.0872020423,47882.7324486338,5027.64524659142,TRUE
"47","Employee 47",43340.8446726389,49222.6413812023,5881.79670856334,TRUE
"48","Employee 48",43761.4594283514,45375.1634375658,1613.70400921442,TRUE
"49","Employee 49",47088.0287489854,49219.6397180669,2131.61096908152,TRUE
"50","Employee 50",47716.7452429421,51107.5452668592,3390.80002391711,TRUE
"51","Employee 51",43539.0755767003,51842.7101313137,8303.63455461338,TRUE
